id	filename	md5	size	state
000837e3-cc9f-4226-ba38-44fa45140671	dea2c311-6279-4f4c-8678-493489106d3c_gdc_realn_rehead.bam	d633ef1ec3da976d48fa22151fc3d8db	7494889332	validated
006b2b95-7069-4cb6-bfe8-7edb80056add	c4e6dc9a-0546-4ee3-b5bf-19872dca172e_gdc_realn_rehead.bam	ccd9393adb1ce783b7f1ba410389bb8b	5412772141	validated
008da0f8-e12c-48c3-aabc-b1337fc5f4cd	db3cc1cf-e3df-4fbc-8d0f-02884b6b72e0_gdc_realn_rehead.bam	1f3eb3a05e682fe86bd3faeebc525785	5962938944	validated
00bc1305-bc2e-44d5-a36a-cf67cf388908	0e195db4-7ecc-4e3d-aa82-0d2ec0b4f4ca_gdc_realn_rehead.bam	173a3cc9cd1a71e97cd6a275e3b288ac	11890463519	validated
00fbd326-73fb-4ede-bf73-e028a07154e9	282001f4-81a1-44d6-99f8-5cbc07f6ebeb_gdc_realn_rehead.bam	dcf50376d1b8d2faffa39382e40112da	8227041651	validated
011b2bd8-7b45-47d0-a5fe-92404c23ecf7	014f2bf3-fa40-4ab5-9bdc-5d4ee4fce819_gdc_realn_rehead.bam	f495d6eba8bb675b446c439a0b0e2dfe	12039554700	validated
01db8cf4-ace7-4ef6-8ad6-5e511c2b3175	7ed99d57-f199-4dac-87a8-62393f5e0aea_gdc_realn_rehead.bam	52328ad85aa9be981a65878c81d9479d	4563563396	validated
01e6d4f6-97fe-410e-b3a8-f835792422b8	078b734e-a871-428f-992e-c292ce767b6f_gdc_realn_rehead.bam	9a724c3691f4a2806d96131a0e3f5b36	8596096550	validated
01ea694e-989b-4a35-9397-5e508656d1d8	29b1cc6e-cbd4-4333-8074-dd1ad8811c85_gdc_realn_rehead.bam	b6332de15876e1279785ebf75181a4de	9645264811	validated
02663fbf-3402-45fa-aa2e-093f280414e7	650d9f02-ebba-4933-8f02-f74762293b23_gdc_realn_rehead.bam	c87e7e2788ee7984744dc45c0e0ac4a5	10984264078	validated
027826cf-6230-409c-a0ff-6b15f1898ad6	8a4eb4f8-766f-413e-9b3e-ce382fcf19d8_gdc_realn_rehead.bam	f2b70b97ef1b4429573fce701b971e3d	4136373997	validated
02895a9a-e276-44af-88e8-021de6ebec48	1b1b017f-5ae9-4845-96fa-9c91ea96aa0e_gdc_realn_rehead.bam	1057c103edb25d9d3d0094c5b11d0dc2	7715583721	validated
02b28650-fe26-44c5-808f-ef04dc4da89b	1f6ab8ee-9f1d-4c71-b7ca-e77a922380c4_gdc_realn_rehead.bam	13e747e222793fc88bf51b8711dc3015	12182950669	validated
0396c7c1-6506-43b6-b612-898b761eed00	e2f0b7f9-f28b-41dc-920b-0d78c695c35b_gdc_realn_rehead.bam	5715c7f5a1188f43164b6386fe4709c8	5796968780	validated
03bd0630-d0a3-4f6f-b7b7-a4068f6073f7	aa6a5132-b44f-4ddf-ac60-ef63787e518c_gdc_realn_rehead.bam	351b075e4a95a0526eab81ebf02f18dc	10600429934	validated
03bef94e-480a-4b1f-b71b-572f8daab9e9	54f4a051-e668-49f5-b38f-96f26841ca02_gdc_realn_rehead.bam	ef592ae6955d3dbab004aa5217a441c9	11269122376	validated
03da1258-ea97-4bc0-b662-c89a8810b1ca	ed55df05-5bb7-48af-90c7-6d2a79dfa7eb_gdc_realn_rehead.bam	e91b501c7133db23428a4ad7afd5410d	6868658229	validated
040139ec-fabd-42b8-bf5a-17fbf4970adc	88f2715e-dba0-4b87-bd90-b992148ab9df_gdc_realn_rehead.bam	3ca2e53f22a0c8d47e6c5254d50df89b	6921117936	validated
04572e38-8baf-4a05-bf63-7c6a7a6dbee5	1505edc7-ee90-447e-a820-b7e96d3e03d2_gdc_realn_rehead.bam	8a931354a90e11a46008c69051b9cc8e	12384313551	validated
048e19f0-14c5-408b-b990-2129551eb3d3	50b5ad45-cbb4-450d-96bb-9ade8e8e3941_gdc_realn_rehead.bam	714b0a87960f1f45daf7522a0f3240f3	6726414863	validated
04a7f289-c045-474e-8b2e-99ca8016539f	b2502902-cc6c-4953-98ec-444ce4d1632b_gdc_realn_rehead.bam	a9a6ce9e73ee5ce29b84d1143a12185c	7357782147	validated
04b5d18e-88c4-403f-987a-63b048808a87	4107b40a-63f4-42c8-8b7d-a7b1d0f6a7fb_gdc_realn_rehead.bam	7dbf9044f277e9f660286fc53f6a9e79	7111672691	validated
04d27335-5340-4c7d-a651-d673e2d4e080	2be1dfb0-906f-475d-9663-e9d859387acc_gdc_realn_rehead.bam	a728e9b8be37f7b30fe25bbb6fd5123b	7515131065	validated
05275795-1405-45c3-9f72-938be4b20840	eb9ee2be-20fb-47b7-924c-4531b09fbf79_gdc_realn_rehead.bam	e37ac267b8f36e662fe8642078cf9ce0	12616345763	validated
